,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
roi_m[Google Paid Search],11.5269,3.4988,4.6352,17.9459,0.1003,0.0709,1193.5647,870.9177,1.0015
roi_m[Google Shopping],1.3893,1.1677,0.0996,3.4882,0.0267,0.024,3449.6108,1311.1254,1.003
roi_m[Google PMAX],1.126,0.8254,0.126,2.6676,0.017,0.0136,2926.5079,1664.6455,1.001
roi_m[Google Video],0.8944,0.6545,0.0704,2.0788,0.0126,0.0104,2846.8665,1459.4794,1.0021
roi_m[Meta Facebook],2.4046,0.3326,1.7889,3.0126,0.0079,0.0057,1745.3711,1235.6451,1.0007
roi_m[Meta Instagram],2.3318,0.2931,1.7808,2.8772,0.0078,0.0055,1418.5287,1493.4533,1.0019
alpha_m[Google Paid Search],0.6913,0.3096,0.0887,0.9999,0.0082,0.0058,2353.0017,1463.2075,1.0054
alpha_m[Google Shopping],0.4925,0.2894,0.009,0.9406,0.0046,0.0036,3500.4438,1161.6254,1.0038
alpha_m[Google PMAX],0.5212,0.2873,0.0662,0.9987,0.0042,0.0034,4341.005,1235.9655,1.0018
alpha_m[Google Video],0.4813,0.2896,0.0113,0.9447,0.0047,0.0038,3143.6468,1032.7137,1.0029
alpha_m[Meta Facebook],0.3702,0.153,0.0942,0.6557,0.0026,0.0019,3270.3983,1157.4697,1.0011
alpha_m[Meta Instagram],0.4806,0.159,0.186,0.7832,0.0034,0.0026,2187.7723,1245.6396,1.0007
beta_m[Google Paid Search],0.6737,0.1928,0.2944,1.0251,0.0053,0.0037,1337.2904,908.5136,1.0001
beta_m[Google Shopping],0.0143,0.0123,0.001,0.0359,0.0003,0.0002,2932.9876,1334.2024,1.0021
beta_m[Google PMAX],0.0869,0.0626,0.0079,0.2014,0.0011,0.001,3601.5266,1594.7328,1.0004
beta_m[Google Video],0.0473,0.0388,0.0036,0.1195,0.0008,0.0006,2778.2832,1677.7695,0.9998
beta_m[Meta Facebook],1.3897,0.2274,0.9488,1.7879,0.0045,0.0032,2605.3336,1686.9302,1.0012
beta_m[Meta Instagram],1.9804,0.3099,1.4616,2.6166,0.0055,0.004,3179.8833,1769.2539,1.0023
ec_m[Google Paid Search],1.4424,0.4817,0.6268,2.3291,0.0089,0.0065,2804.5324,1500.3328,1.0007
ec_m[Google Shopping],1.0568,0.5911,0.1001,2.0336,0.0122,0.0086,1457.4729,605.7147,1.0066
ec_m[Google PMAX],0.8625,0.5812,0.1036,1.9136,0.011,0.0078,1759.1682,1105.6703,1.0031
ec_m[Google Video],1.2079,0.6024,0.1125,2.2186,0.01,0.0073,2907.1173,1174.6385,1.0045
ec_m[Meta Facebook],2.182,0.5313,1.2042,3.1752,0.0115,0.0081,2026.6317,1516.2832,1.0027
ec_m[Meta Instagram],1.7434,0.4481,0.8431,2.4959,0.0098,0.0072,2112.6928,1532.4499,1.0007
gamma_c[TREND],-0.047,0.0581,-0.1492,0.0656,0.0017,0.0012,1224.3304,1699.0583,1.0007
gamma_c[DOW_Friday],-0.0269,0.021,-0.0669,0.0097,0.0006,0.0004,1411.532,1629.4275,0.9996
gamma_c[DOW_Saturday],-0.0281,0.022,-0.0678,0.0155,0.0006,0.0004,1357.7118,1446.8359,1.0012
gamma_c[DOW_Sunday],0.0388,0.0219,-0.0021,0.0793,0.0006,0.0004,1395.9583,1650.6144,0.9996
gamma_c[DOW_Thursday],-0.082,0.0212,-0.1208,-0.0422,0.0006,0.0004,1461.5442,1640.6586,1.0012
gamma_c[DOW_Tuesday],-0.0456,0.0213,-0.0846,-0.004,0.0006,0.0004,1467.2237,1598.0057,1.0003
gamma_c[DOW_Wednesday],-0.0593,0.0215,-0.1018,-0.0208,0.0006,0.0004,1501.8546,1492.8707,1.0
gamma_c[YEAR_SIN_1],-0.0069,0.0181,-0.0441,0.0243,0.0004,0.0004,2503.8598,1312.9575,1.0037
gamma_c[YEAR_COS_1],0.0594,0.0199,0.0251,0.1001,0.0004,0.0003,2551.6425,1238.5493,1.0003
gamma_c[YEAR_SIN_2],-0.0056,0.0182,-0.0376,0.0303,0.0004,0.0003,2355.0923,1537.2242,0.9997
gamma_c[YEAR_COS_2],-0.02,0.0195,-0.054,0.0175,0.0004,0.0003,2665.7365,1790.0061,0.9995
gamma_c[BLACK_FRIDAY_PERIOD],0.3192,0.0175,0.2869,0.351,0.0003,0.0002,4085.3471,1589.2359,0.9998
gamma_c[LOG_ORGANIC_SEARCH_CLICKS],-0.4538,0.1714,-0.7747,-0.1251,0.004,0.0029,1869.0401,1443.5881,0.9999
gamma_c[LOG_EMAIL_CLICKS],0.9016,0.0984,0.7198,1.0789,0.0018,0.0013,3038.947,1433.4651,1.0023
gamma_c[LOG_REFERRAL_CLICKS],-0.3429,0.1666,-0.6555,-0.0385,0.004,0.0028,1721.5125,1447.4044,0.9998
gamma_c[LOG_ALL_OTHER_CLICKS],0.0635,0.0601,-0.0492,0.1704,0.0011,0.001,3257.7991,1541.557,1.0044
sigma,0.5216,0.0117,0.501,0.5456,0.0002,0.0002,2794.5795,1184.222,1.0054
