channel,media_units,distribution,ci_hi,ci_lo,mean,channel_type,scaled_count_histogram,count_histogram,start_interval_histogram,end_interval_histogram
Google Paid Search,0.0,posterior,0.0,0.0,0.0,media,,,,
Google Paid Search,0.0,prior,0.0,0.0,0.0,media,,,,
Google Paid Search,120.64729309082031,posterior,0.06588323,0.022617187,0.0397667,media,,,,
Google Paid Search,120.64729309082031,prior,0.17004241,0.024302293,0.065465584,media,,,,
Google Paid Search,241.29458618164062,posterior,0.12362185,0.04423393,0.07613386,media,,,,
Google Paid Search,241.29458618164062,prior,0.29066014,0.04745141,0.11932948,media,,,,
Google Paid Search,361.9418640136719,posterior,0.17463823,0.064915165,0.10956932,media,,,,
Google Paid Search,361.9418640136719,prior,0.38066766,0.06952752,0.1653084,media,,,,
Google Paid Search,482.58917236328125,posterior,0.22004172,0.084720336,0.14044866,media,,,,
Google Paid Search,482.58917236328125,prior,0.45040524,0.09060355,0.20544116,media,,,,
Google Paid Search,603.2364501953125,posterior,0.26071036,0.10370396,0.16908032,media,,,,
Google Paid Search,603.2364501953125,prior,0.50602716,0.11074594,0.24101497,media,,,,
Google Paid Search,723.8837280273438,posterior,0.29734808,0.12191612,0.19572054,media,,,,
Google Paid Search,723.8837280273438,prior,0.55142534,0.1300154,0.272911,media,,,,
Google Paid Search,844.531005859375,posterior,0.33052593,0.13940291,0.22058496,media,,,,
Google Paid Search,844.531005859375,prior,0.58918124,0.14846747,0.3017672,media,,,,
Google Paid Search,965.1783447265625,posterior,0.3607118,0.15620679,0.24385792,media,,,,
Google Paid Search,965.1783447265625,prior,0.6210749,0.16615304,0.32806388,media,,,,
Google Paid Search,1085.82568359375,posterior,0.38829306,0.17236702,0.26569575,media,,,,
Google Paid Search,1085.82568359375,prior,0.6483731,0.18311895,0.3521739,media,,,,
Google Paid Search,1206.472900390625,posterior,0.41359282,0.1879199,0.2862363,media,,,,
Google Paid Search,1206.472900390625,prior,0.67200255,0.19940823,0.37439245,media,,,,
Google Paid Search,1327.1201171875,posterior,0.4368829,0.20289901,0.305597,media,,,,
Google Paid Search,1327.1201171875,prior,0.69265616,0.21506058,0.39495945,media,,,,
Google Paid Search,1447.7674560546875,posterior,0.4583937,0.21733554,0.3238819,media,,,,
Google Paid Search,1447.7674560546875,prior,0.7108627,0.2301126,0.4140723,media,,,,
Google Paid Search,1568.414794921875,posterior,0.47832155,0.23125842,0.34118283,media,,,,
Google Paid Search,1568.414794921875,prior,0.7270329,0.24459822,0.43189436,media,,,,
Google Paid Search,1689.06201171875,posterior,0.496835,0.24469465,0.35758,media,,,,
Google Paid Search,1689.06201171875,prior,0.7414902,0.25854883,0.44856375,media,,,,
Google Paid Search,1809.7093505859375,posterior,0.51407945,0.25766927,0.3731462,media,,,,
Google Paid Search,1809.7093505859375,prior,0.7544931,0.2719935,0.46419957,media,,,,
Google Paid Search,1930.356689453125,posterior,0.53018105,0.27020562,0.38794562,media,,,,
Google Paid Search,1930.356689453125,prior,0.76625055,0.28495923,0.478901,media,,,,
Google Paid Search,2051.00390625,posterior,0.5452498,0.28232563,0.40203503,media,,,,
Google Paid Search,2051.00390625,prior,0.7769334,0.29747126,0.49275666,media,,,,
Google Paid Search,2171.6513671875,posterior,0.55938196,0.2940496,0.4154665,media,,,,
Google Paid Search,2171.6513671875,prior,0.7866824,0.3095529,0.5058426,media,,,,
Google Paid Search,2292.298583984375,posterior,0.57266223,0.3053967,0.4282859,media,,,,
Google Paid Search,2292.298583984375,prior,0.795615,0.32122603,0.51822406,media,,,,
Google Paid Search,2412.94580078125,posterior,0.5851654,0.3163848,0.44053695,media,,,,
Google Paid Search,2412.94580078125,prior,0.80382943,0.332511,0.5299622,media,,,,
Google Paid Search,2533.59326171875,posterior,0.59695774,0.32703066,0.45225656,media,,,,
Google Paid Search,2533.59326171875,prior,0.8114092,0.3434269,0.5411073,media,,,,
Google Paid Search,2654.240234375,posterior,0.60809815,0.33735004,0.4634806,media,,,,
Google Paid Search,2654.240234375,prior,0.818425,0.3539915,0.5517059,media,,,,
Google Paid Search,2774.8876953125,posterior,0.6186393,0.3473577,0.47423968,media,,,,
Google Paid Search,2774.8876953125,prior,0.8249376,0.36422154,0.56180006,media,,,,
Google Paid Search,2895.534912109375,posterior,0.62862813,0.35706758,0.48456421,media,,,,
Google Paid Search,2895.534912109375,prior,0.830999,0.3741326,0.5714253,media,,,,
Google Paid Search,3016.182373046875,posterior,0.6381072,0.3664928,0.49447957,media,,,,
Google Paid Search,3016.182373046875,prior,0.83665484,0.3837394,0.58061695,media,,,,
Google Paid Search,3136.82958984375,posterior,0.64711434,0.37564567,0.50401115,media,,,,
Google Paid Search,3136.82958984375,prior,0.84194446,0.39305574,0.58940405,media,,,,
Google Paid Search,3257.47705078125,posterior,0.65568405,0.38453782,0.5131801,media,,,,
Google Paid Search,3257.47705078125,prior,0.84690213,0.4020946,0.5978142,media,,,,
Google Paid Search,3378.1240234375,posterior,0.6638474,0.39318022,0.5220083,media,,,,
Google Paid Search,3378.1240234375,prior,0.85155815,0.41086814,0.60587156,media,,,,
Google Paid Search,3498.771484375,posterior,0.67163265,0.40158328,0.5305141,media,,,,
Google Paid Search,3498.771484375,prior,0.8559395,0.419388,0.6135997,media,,,,
Google Paid Search,3619.418701171875,posterior,0.67906535,0.40975678,0.53871584,media,,,,
Google Paid Search,3619.418701171875,prior,0.8600696,0.4276649,0.6210185,media,,,,
Google Paid Search,3740.066162109375,posterior,0.6861691,0.41771,0.54662997,media,,,,
Google Paid Search,3740.066162109375,prior,0.86396945,0.43570915,0.6281473,media,,,,
Google Paid Search,3860.71337890625,posterior,0.69296515,0.42545182,0.55427045,media,,,,
Google Paid Search,3860.71337890625,prior,0.8676578,0.44353044,0.6350026,media,,,,
Google Paid Search,3981.360595703125,posterior,0.6994731,0.43299037,0.5616534,media,,,,
Google Paid Search,3981.360595703125,prior,0.87115145,0.4511378,0.6416009,media,,,,
Google Paid Search,4102.0078125,posterior,0.7057108,0.44033372,0.568791,media,,,,
Google Paid Search,4102.0078125,prior,0.8744654,0.45854002,0.64795744,media,,,,
Google Paid Search,4222.6552734375,posterior,0.711695,0.4474893,0.575695,media,,,,
Google Paid Search,4222.6552734375,prior,0.87761307,0.4657452,0.6540848,media,,,,
Google Paid Search,4343.302734375,posterior,0.7174406,0.45446417,0.58237684,media,,,,
Google Paid Search,4343.302734375,prior,0.88060683,0.47276118,0.65999573,media,,,,
Google Paid Search,4463.94970703125,posterior,0.7229617,0.4612652,0.5888485,media,,,,
Google Paid Search,4463.94970703125,prior,0.88345766,0.47959527,0.6657022,media,,,,
Google Paid Search,4584.59716796875,posterior,0.7282711,0.46789864,0.5951191,media,,,,
Google Paid Search,4584.59716796875,prior,0.88617545,0.4862545,0.6712148,media,,,,
Google Paid Search,4705.24462890625,posterior,0.7333809,0.47437087,0.6011968,media,,,,
Google Paid Search,4705.24462890625,prior,0.88876945,0.4927454,0.67654324,media,,,,
Google Paid Search,4825.8916015625,posterior,0.738302,0.4806874,0.607093,media,,,,
Google Paid Search,4825.8916015625,prior,0.89124775,0.49907434,0.6816974,media,,,,
Google Paid Search,4946.5390625,posterior,0.7430448,0.486854,0.6128147,media,,,,
Google Paid Search,4946.5390625,prior,0.8936181,0.5052473,0.68668514,media,,,,
Google Paid Search,5067.1865234375,posterior,0.7476187,0.49287584,0.6183686,media,,,,
Google Paid Search,5067.1865234375,prior,0.89588726,0.51127,0.6915155,media,,,,
Google Paid Search,5187.833984375,posterior,0.75203264,0.498758,0.62376285,media,,,,
Google Paid Search,5187.833984375,prior,0.8980617,0.5171478,0.69619447,media,,,,
Google Paid Search,5308.48046875,posterior,0.75629485,0.5045052,0.6290053,media,,,,
Google Paid Search,5308.48046875,prior,0.90014714,0.5228858,0.7007311,media,,,,
Google Paid Search,5429.1279296875,posterior,0.76041293,0.5101222,0.63410205,media,,,,
Google Paid Search,5429.1279296875,prior,0.90214896,0.52848923,0.70513076,media,,,,
Google Paid Search,5549.775390625,posterior,0.7643942,0.51561326,0.63905793,media,,,,
Google Paid Search,5549.775390625,prior,0.9040721,0.5339624,0.7094001,media,,,,
Google Paid Search,5670.4228515625,posterior,0.7682454,0.5209825,0.6438792,media,,,,
Google Paid Search,5670.4228515625,prior,0.90592104,0.53931016,0.7135456,media,,,,
Google Paid Search,5791.06982421875,posterior,0.7719726,0.52623403,0.6485721,media,,,,
Google Paid Search,5791.06982421875,prior,0.9077001,0.54453635,0.7175712,media,,,,
