DATE_DAY,ALL_PURCHASES,ALL_PURCHASES_ORIGINAL_PRICE
2023-11-24,2051,172467.790699139
2023-11-27,1794,148023.887683452
2022-11-25,1510,128583.291356593
2023-11-25,1194,101336.579676058
2022-11-28,1180,99478.179359579
2023-11-26,1166,97679.464663292
2022-02-03,1082,85017.248761352
2022-02-04,1078,122454.467871099
2022-11-26,910,73909.793737653
2023-11-23,901,73718.3922075
2023-09-04,845,76351.291251078
2024-03-17,804,58021.011246333
2023-12-17,771,73619.003360772
2023-12-18,749,70186.466496671
2022-11-27,738,61984.605702428
