feature,observations,minimum_feature_value,mean_feature_value,maximum_feature_value,mean_shap_value,mean_absolute_shap
Trend,160,0.0,0.10181372549019607,0.20313725490196077,-82.05090760194769,82.0509076019477
Trend,160,0.20392156862745098,0.2956078431372549,0.38745098039215686,-67.42689926636994,67.42689926636994
Trend,160,0.38823529411764707,0.4848529411764706,0.5843137254901961,-2.5154908889187615,34.68900533549005
Trend,160,0.5850980392156863,0.6922549019607843,0.7866666666666666,38.75041337598727,38.75041337598727
Trend,160,0.7874509803921569,0.8934117647058823,1.0,80.15295793231222,80.15295793231222
Log Email Clicks,320,0.0,2.1650696558788964,5.71042701737487,-26.823730121433726,26.848226667878276
Log Email Clicks,160,5.720311776607412,5.996957253241678,6.214608098422191,6.382807917744266,9.733283857193317
Log Email Clicks,160,6.2166061010848646,6.383036901785963,6.595780513961311,19.75512736694043,19.76450294070896
Log Email Clicks,160,6.597145701886651,7.009392702067011,8.555451903533328,44.8538970960792,44.8538970960792
Meta Instagram,160,0.0,13428.075,54855.0,-21.614485996309714,21.614485996309714
Meta Instagram,160,54880.0,132418.69375,240127.0,-12.653032972358634,13.260702042175314
Meta Instagram,160,240214.0,324251.7625,400005.0,7.20338335913755,11.390823686995947
Meta Instagram,160,401960.0,467920.71875,545888.0,13.539936108264362,13.707249161105935
Meta Instagram,160,545922.0,724729.65,1292876.0,28.53048223403173,28.530482234031723
Meta Facebook,160,7359.0,66345.325,94988.0,-18.615706570882246,18.615706570882246
Meta Facebook,160,95446.0,119687.9875,147135.0,-13.717957570254043,13.717957570254043
Meta Facebook,160,147199.0,190209.74375,244262.0,-5.147672377935441,7.084102024423511
Meta Facebook,160,244520.0,306105.825,369903.0,14.622884267949114,14.622884267949114
Meta Facebook,160,371506.0,472213.75625,763474.0,19.00033526246107,19.00033526246107
Google PMAX,480,0.0,2287.545833333333,31780.0,-11.284167746482588,13.414241946712432
Google PMAX,160,32060.0,38787.44375,43207.0,14.046931442161739,14.046931442161739
Google PMAX,160,43349.0,51916.0125,80691.0,14.329305018005034,14.329305018005034
Google Paid Search,161,0.0,522.3975155279503,815.0,-4.755654479348572,4.755654479348573
Google Paid Search,159,816.0,1083.8364779874214,1553.0,-3.610171110633128,3.7085508296081944
Google Paid Search,160,1555.0,2202.3625,3329.0,-1.676318785287918,2.666552994733076
Google Paid Search,160,3343.0,4110.01875,5135.0,3.548540339890251,3.548540339890251
Google Paid Search,160,5177.0,7767.50625,45823.0,5.390425820982501,5.390425820982501
