feature,mean_absolute_shap,mean_signed_shap,positive_effect_share,feature_group,importance_percentage
Trend,60.614036702421444,-6.617985289787363,0.5175,Control,37.53597096055909
Log Email Clicks,25.609627445947627,3.468874427579293,0.5425,Control,15.85906968778777
Meta Instagram,17.700748624123733,3.001256546553051,0.52875,Paid Media,10.961401392834844
Meta Facebook,14.608197139194003,-0.7716233977323087,0.43875,Paid Media,9.046301705575127
Google PMAX,13.72379246006079,-1.095253355856196,0.4575,Paid Media,8.49862347526184
Black Friday Period,12.347305481763408,-1.809353265782842,0.015,Control,7.646217365129032
Google Paid Search,4.015253772474693,-0.22206749709026816,0.46375,Paid Media,2.4864941720151843
Year Cos 1,2.825547572968921,-0.08836607179498585,0.38,Control,1.749754304722007
Dow Sunday,2.198719841380438,-0.2058215443499012,0.14625,Control,1.36158369589604
Log Organic Search Clicks,2.0858814096208813,-0.05934265753870378,0.35875,Control,1.2917071404282776
Year Sin 1,1.6380467966776309,0.3454453071098711,0.67125,Control,1.0143801722691095
Log All Other Clicks,0.9064602198740386,-0.04628192796207876,0.3925,Control,0.5613363890799022
Dow Thursday,0.818816552439834,0.21011090185716239,0.87875,Control,0.5070619943248046
Year Cos 2,0.488055534370072,0.07226478378161165,0.50625,Control,0.3022342573089729
Google Shopping,0.47540329428103417,-0.1254796314556902,0.31875,Paid Media,0.29439920552221127
Year Sin 2,0.435344904843898,0.05443589467677192,0.545,Control,0.26959256626106065
Log Referral Clicks,0.4055542651671503,0.11249014361550552,0.45625,Control,0.2511443544831078
Google Video,0.2769364636405223,-0.059561249423736376,0.23875,Paid Media,0.17149623457952778
Dow Wednesday,0.19906173319948173,0.04422067246091371,0.85,Control,0.12327137150454481
Dow Tuesday,0.04188088455028409,0.014372390132537076,0.84875,Control,0.025935241270924805
Dow Friday,0.037330878582117595,-0.00812124661335718,0.16375,Control,0.023117595372666305
Dow Saturday,0.03053104683772949,0.001970526618892296,0.57875,Control,0.018906717813939985
